gid,light,dem,ndvi,road_dis,poi_dis,poi
90,0,0,0.0,11488,39865.91936651826,0.0
91,0,0,0.0,11008,39438.276642127574,0.0
92,0,0,0.0,10530,38954.8734371822,0.0
93,0,0,0.0,10054,38469.11458075847,0.0
94,0,0,0.0,9581,38003.88219389365,0.0
95,0,0,0.0,9110,37559.765153445886,0.0
96,0,0,0.0,8642,37137.376185928566,0.0
97,0,0,0.0,8179,36737.26866523722,0.0
98,0,0,0.0,7720,36359.88071734537,0.0
99,0,0,0.0,7266,36006.263738262154,0.0
100,0,0,0.0,6819,35578.16928494971,0.0
101,0,0,0.0,6380,34948.957054326645,0.0
102,0,0,0.0,5950,34312.77047053851,0.0
103,0,0,0.0,5532,33674.27780503877,0.0
104,0,0,0.0,5129,33027.22993051241,0.0
105,0,0,0.0,4744,32391.797496978244,0.0
106,0,0,0.0,4383,31774.376879391177,0.0
107,0,0,0.0,4050,31176.070446725626,0.0
108,0,0,0.122682,3755,30567.67305379028,0.0
109,0,0,0.0,3507,29932.842545420845,0.0
110,0,0,0.20634899999999998,3315,29320.28431235952,0.0
111,0,0,0.20634899999999998,3177,28732.20504461261,0.0
112,0,0,0.20634899999999998,3075,28171.295716332832,0.0
113,0,0,0.0,3047,27639.311552511135,0.0
114,0,0,0.0,2899,27140.850057167165,0.0
115,0,0,0.0,2509,26682.358402742542,0.0
116,0,0,0.0,2165,26270.35687315001,0.0
117,0,0,0.0,1892,25911.86453024938,0.0
118,0,0,0.0,1723,25612.719442672154,0.0
119,0,0,0.0,1691,25315.588800972648,0.0
120,0,0,0.0,1803,25014.230908158235,0.0
121,0,0,0.0,2032,24663.04140500905,0.0
122,0,0,0.0,2347,24354.039194518333,0.0
123,0,0,0.0,2718,24085.83550491678,0.0
124,0,0,0.0,3125,23836.75901828255,0.0
125,0,0,0.0,3556,23534.57429353283,0.0
126,0,0,0.0,3652,23253.53659043255,0.0
127,0,0,0.0,3658,23013.11477413159,0.0
128,0,0,0.0,3731,22815.688970070412,0.0
129,0,0,0.0,3868,22646.644714648508,0.0
130,0,0,0.0,4062,22456.784415307844,0.0
131,0,0,0.0,4306,22222.85446648548,0.0
132,0,0,0.0,4592,22052.213425839334,0.0
133,0,0,0.0,4912,21892.11366755867,0.0
134,0,0,0.0,5260,21797.336616723875,0.0
135,0,0,0.0,5631,21758.238279303492,0.0
136,0,0,0.0,5504,21773.49191943883,0.0
137,0,0,0.0,5264,21854.356634732907,0.0
138,0,0,0.0,5038,21999.420513507277,0.0
139,0,0,0.0,4840,22185.434976833014,0.0
140,0,0,0.0,4581,22358.634079486816,0.0
141,0,0,0.0,4339,22575.434758947813,0.0
142,0,0,0.0,4135,22572.39127566115,0.0
143,0,0,0.0,3932,22220.31672325352,0.0
144,0,0,0.0,3736,21906.35917365949,0.0
145,0,0,0.0,3568,21638.858689530585,0.0
146,0,0,0.0,3464,21426.619550183714,0.0
147,0,0,0.0,3355,21273.626152570258,0.0
148,0,0,0.0,3282,21132.480015214438,0.0
149,0,0,0.0,3245,21016.360998451393,0.0
150,0,0,0.0,2965,20973.65503187118,0.0
151,0,0,0.0,2745,21008.903634222475,0.0
152,0,0,0.0,2522,21011.09413535286,0.0
153,0,0,0.0,2355,21041.083289128826,0.0
154,0,0,0.0,2082,21120.316223890368,0.0
155,0,0,0.0,1790,21189.743417829697,0.0
156,0,0,0.0,1604,21264.221009759385,0.0
157,0,0,0.0,1563,21386.640493888208,0.0
158,0,0,0.0,1677,21572.16170442805,0.0
159,0,0,0.0,1919,21820.562372252007,0.0
160,0,0,0.0,1648,22110.3928395441,0.0
161,0,0,0.0,1233,22450.942238733798,0.0
162,0,0,0.0,859,22837.074729327996,0.0
163,0,0,0.0,676,23308.125959250472,0.0
164,0,0,0.0,822,23840.023767189912,0.0
165,0,0,0.0,722,24446.86641061981,0.0
166,0,0,0.0,662,25138.05677016462,0.0
167,0,0,0.0,678,25900.55803029129,0.0
168,0,0,0.0,861,26715.355684663074,0.0
169,0,0,0.0,1235,27565.502053789227,0.0
170,0,0,0.0,1676,28440.152608402066,0.0
171,0,0,0.0,2142,29332.9000783806,0.0
172,0,0,0.0,2622,30239.79528673307,0.0
173,0,0,0.0,3107,31158.232949243775,0.0
174,0,0,0.0,3597,32080.222133274197,0.0
175,0,0,0.0,4089,32984.51222724836,0.0
176,0,0,0.0,4583,33898.2052154663,0.0
177,0,0,0.0,5078,34820.343422824255,0.0
178,0,0,0.0,5574,35750.12816359924,0.0
179,0,0,0.0,6071,36686.88134004949,0.0
180,0,0,0.0,6568,37630.01918721439,0.0
181,0,0,0.0,7065,38579.03359751788,0.0
182,0,0,0.0,7563,39533.47837226883,0.0
183,0,0,0.0,8061,40492.95879699466,0.0
184,0,0,0.0,8560,41457.1235363624,0.0
185,0,0,0.0,9058,42425.65819821535,0.0
186,0,0,0.0,9557,43398.28013208028,0.0
187,0,0,0.0,10056,44374.73416314487,0.0
188,0,0,0.0,10554,45354.78905036628,0.0
