1,2062
3,-12211
16,421
4,7805
6,-1105
7,8181
15,-421
136,2635
20,3495
18,-17525
19,-3708
23,-3919
29,2301
30,-39977
31,3165
32,-14336
25,-14775
26,-12825
28,-8279
138,1893
39,-2570
104,-1302
107,-5601
45,15169
52,9226
53,-203
54,5274
55,2068
56,-3071
46,4113
49,-782
47,-14914
48,9892
62,-24318
69,-4885
70,2702
71,21998
60,-41386
57,5895
59,-1668
77,5111
78,-3895
79,-5491
81,175
108,-2311
86,38129
74,-15277
88,1705
89,396
90,-2906
124,-8618
113,-31254
93,-4031
94,-6679
95,700
98,-2418
99,13842
82,32938
85,1570
127,-2507
103,9040
105,-12636
106,7591
128,8650
129,-11837
146,4890
115,10702
119,8279
141,-20374
142,-4598
143,18096
145,3757
148,3706
150,-3693
151,-14759
111,72343
112,3791
125,1058
154,-11035
155,-39364
165,-827
162,29427
66,-14340
83,-7619
114,10516
116,-12848
117,7208
131,-5966
132,5848
133,-2753
100,-11230
172,2703
174,-13364
175,2551
176,-1714
178,15906
120,2114
121,1906
122,-34166
123,13848
134,-562
135,1156
130,-797
42,4315
43,7242
64,4805
65,-8722
84,-5072
101,-11630
5,12809
8,-3056
9,-1137
10,403
11,-7757
12,5625
13,-2322
14,63
137,-8530
27,4905
24,-304
38,-1047
40,-253
41,-5296
44,-9470
51,-3866
63,1029
67,365
153,-4399
109,4413
110,3206
126,6675
140,-10118
139,8
169,10352
170,-8244
171,-4045
152,11429
160,2932
163,15778
164,7613
34,1334
36,9566
73,3658
96,-700
156,-2510
157,444
158,-14390
159,-543
2,5927
21,-17600
182,2923
183,1754
184,-4820
185,141
168,3706
22,-2007
33,-5884
37,10934
68,20794
186,-1581
17,8349
35,-652
50,-2058
144,-11889
58,3900
61,13823
147,-24291
166,9231
72,424
75,598
76,-158
80,-6638
87,5272
102,2941
149,-1130
92,36482
161,9787
91,7379
97,15925
118,-938
167,11340
179,1011
173,-8973
177,5434
181,-507
180,-2806
