subid,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60
1,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.07692307692307693,0.0,0.3076923076923077,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.0,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.0,0.46153846153846156,0.07692307692307693,0.38461538461538464,0.0,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,0.0,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.0,0.0,0.3076923076923077,0.6153846153846154,0.07692307692307693,0.0,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.0,0.0,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.5384615384615384,0.07692307692307693
2,0.7853107344632768,0.1807909604519774,0.03389830508474576,0.0,0.0,0.8531073446327684,0.07344632768361582,0.07344632768361582,0.0,0.0,0.7966101694915254,0.14124293785310735,0.03389830508474576,0.02824858757062147,0.0,0.8531073446327684,0.062146892655367235,0.06779661016949153,0.01694915254237288,0.0,0.8700564971751412,0.1016949152542373,0.022598870056497175,0.005649717514124294,0.0,0.768361581920904,0.0847457627118644,0.11299435028248588,0.02824858757062147,0.005649717514124294,0.8587570621468926,0.0903954802259887,0.04519774011299435,0.005649717514124294,0.0,0.7966101694915254,0.14689265536723164,0.04519774011299435,0.011299435028248588,0.0,0.847457627118644,0.07909604519774012,0.05649717514124294,0.011299435028248588,0.005649717514124294,0.7005649717514124,0.15819209039548024,0.0903954802259887,0.05084745762711865,0.0,0.8587570621468926,0.03389830508474576,0.06779661016949153,0.022598870056497175,0.01694915254237288,0.7457627118644068,0.12429378531073447,0.06779661016949153,0.05649717514124294,0.005649717514124294
3,0.9982758620689656,0.0017241379310344827,0.0,0.0,0.0,0.9996551724137931,0.0003448275862068965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9972413793103448,0.0020689655172413794,0.000689655172413793,0.0,0.0,0.9972413793103448,0.002758620689655172,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9906896551724138,0.007931034482758621,0.001379310344827586,0.0,0.0,0.9993103448275862,0.000689655172413793,0.0,0.0,0.0,0.9948275862068966,0.005172413793103448,0.0,0.0,0.0,0.9955172413793103,0.004482758620689655,0.0,0.0,0.0,0.9989655172413793,0.0003448275862068965,0.000689655172413793,0.0,0.0,0.9989655172413793,0.0010344827586206897,0.0,0.0,0.0
4,0.9951651893634166,0.004834810636583401,0.0,0.0,0.0,0.9991941982272361,0.0,0.0008058017727639,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9943593875906527,0.0056406124093473006,0.0,0.0,0.0,0.9895245769540693,0.009669621273166801,0.0008058017727639,0.0,0.0,0.9983883964544722,0.0016116035455278,0.0,0.0,0.0,0.984689766317486,0.010475423045930701,0.0032232070910556,0.0016116035455278,0.0,1.0,0.0,0.0,0.0,0.0,0.9951651893634166,0.004834810636583401,0.0,0.0,0.0,0.9887187751813054,0.011281224818694601,0.0,0.0,0.0,0.9983883964544722,0.0008058017727639,0.0008058017727639,0.0,0.0,0.9967767929089444,0.0032232070910556,0.0,0.0,0.0
5,0.15789473684210525,0.3684210526315789,0.42105263157894735,0.05263157894736842,0.0,0.2631578947368421,0.05263157894736842,0.5263157894736842,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.5789473684210527,0.05263157894736842,0.3684210526315789,0.05263157894736842,0.42105263157894735,0.10526315789473684,0.05263157894736842,0.3684210526315789,0.21052631578947367,0.3684210526315789,0.05263157894736842,0.0,0.05263157894736842,0.2631578947368421,0.42105263157894735,0.15789473684210525,0.10526315789473684,0.3684210526315789,0.21052631578947367,0.2631578947368421,0.15789473684210525,0.0,0.5789473684210527,0.42105263157894735,0.0,0.0,0.0,0.47368421052631576,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.0,0.05263157894736842,0.21052631578947367,0.3157894736842105,0.42105263157894735,0.0,0.47368421052631576,0.10526315789473684,0.2631578947368421,0.15789473684210525,0.0,0.10526315789473684,0.21052631578947367,0.3157894736842105,0.3157894736842105,0.05263157894736842
6,0.9976303317535545,0.002369668246445498,0.0,0.0,0.0,0.9988151658767772,0.001184834123222749,0.0,0.0,0.0,0.9982227488151659,0.0017772511848341231,0.0,0.0,0.0,0.9964454976303317,0.002369668246445498,0.001184834123222749,0.0,0.0,0.9988151658767772,0.001184834123222749,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9887440758293838,0.006516587677725118,0.0035545023696682463,0.001184834123222749,0.0,1.0,0.0,0.0,0.0,0.0,0.9964454976303317,0.002962085308056872,0.0005924170616113745,0.0,0.0,0.995260663507109,0.004739336492890996,0.0,0.0,0.0,0.9994075829383886,0.0,0.0005924170616113745,0.0,0.0,0.9964454976303317,0.0035545023696682463,0.0,0.0,0.0
7,0.984009840098401,0.015990159901599015,0.0,0.0,0.0,0.996309963099631,0.0036900369003690036,0.0,0.0,0.0,0.991389913899139,0.008610086100861008,0.0,0.0,0.0,0.992619926199262,0.004920049200492005,0.0024600246002460025,0.0,0.0,0.998769987699877,0.0012300123001230013,0.0,0.0,0.0,0.992619926199262,0.006150061500615006,0.0012300123001230013,0.0,0.0,0.981549815498155,0.015990159901599015,0.0,0.0024600246002460025,0.0,0.995079950799508,0.004920049200492005,0.0,0.0,0.0,0.995079950799508,0.0036900369003690036,0.0012300123001230013,0.0,0.0,0.990159901599016,0.008610086100861008,0.0012300123001230013,0.0,0.0,0.993849938499385,0.0024600246002460025,0.0036900369003690036,0.0,0.0,0.992619926199262,0.007380073800738007,0.0,0.0,0.0
8,0.9844840961986036,0.013188518231186967,0.0023273855702094647,0.0,0.0,0.9891388673390225,0.008533747090768037,0.0007757951900698216,0.0015515903801396431,0.0,0.9922420480993018,0.0069821567106283944,0.0007757951900698216,0.0,0.0,0.978277734678045,0.017067494181536073,0.003878975950349108,0.0007757951900698216,0.0,0.9922420480993018,0.007757951900698216,0.0,0.0,0.0,0.9767261442979054,0.021722265321955005,0.0015515903801396431,0.0,0.0,0.9813809154383243,0.01474010861132661,0.003878975950349108,0.0,0.0,0.9891388673390225,0.009309542280837859,0.0015515903801396431,0.0,0.0,0.9650892164468581,0.027928626842513578,0.0069821567106283944,0.0,0.0,0.9627618308766486,0.03335919317300233,0.003878975950349108,0.0,0.0,0.9790535298681148,0.013188518231186967,0.0069821567106283944,0.0007757951900698216,0.0,0.9666408068269977,0.030256012412723042,0.0031031807602792862,0.0,0.0
9,0.9402173913043478,0.04755434782608696,0.012228260869565218,0.0,0.0,0.9252717391304348,0.057065217391304345,0.012228260869565218,0.002717391304347826,0.002717391304347826,0.9279891304347826,0.057065217391304345,0.010869565217391304,0.004076086956521739,0.0,0.9184782608695652,0.04891304347826087,0.02717391304347826,0.005434782608695652,0.0,0.9660326086956522,0.025815217391304348,0.008152173913043478,0.0,0.0,0.8491847826086957,0.12092391304347826,0.025815217391304348,0.004076086956521739,0.0,0.9769021739130435,0.020380434782608696,0.002717391304347826,0.0,0.0,0.9565217391304348,0.03940217391304348,0.004076086956521739,0.0,0.0,0.8777173913043478,0.08695652173913043,0.035326086956521736,0.0,0.0,0.8546195652173914,0.12228260869565218,0.02309782608695652,0.0,0.0,0.9211956521739131,0.04619565217391304,0.025815217391304348,0.002717391304347826,0.004076086956521739,0.8940217391304348,0.07880434782608696,0.02309782608695652,0.004076086956521739,0.0
10,0.9994061757719715,0.0005938242280285036,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.996437054631829,0.0035629453681710215,0.0,0.0,0.0,0.9958432304038005,0.0035629453681710215,0.0005938242280285036,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.994061757719715,0.005344418052256532,0.0,0.0005938242280285036,0.0,1.0,0.0,0.0,0.0,0.0,0.998812351543943,0.0011876484560570072,0.0,0.0,0.0,0.998812351543943,0.0011876484560570072,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9982185273159145,0.0017814726840855108,0.0,0.0,0.0
11,0.9975349219391948,0.0024650780608052587,0.0,0.0,0.0,0.9991783073130649,0.0008216926869350862,0.0,0.0,0.0,0.9991783073130649,0.0008216926869350862,0.0,0.0,0.0,0.9926047658175843,0.005751848808545604,0.0016433853738701725,0.0,0.0,0.9917830731306492,0.008216926869350863,0.0,0.0,0.0,0.9983566146261298,0.0016433853738701725,0.0,0.0,0.0,0.9835661462612982,0.015612161051766639,0.0,0.0008216926869350862,0.0,0.9991783073130649,0.0008216926869350862,0.0,0.0,0.0,0.9917830731306492,0.008216926869350863,0.0,0.0,0.0,0.9942481511914544,0.005751848808545604,0.0,0.0,0.0,0.9983566146261298,0.0,0.0016433853738701725,0.0,0.0,0.9950698438783895,0.0049301561216105174,0.0,0.0,0.0
12,0.9981078524124882,0.001892147587511826,0.0,0.0,0.0,0.9995269631031221,0.0004730368968779565,0.0,0.0,0.0,0.9957426679280984,0.004257332071901609,0.0,0.0,0.0,0.9985808893093662,0.0014191106906338694,0.0,0.0,0.0,0.9962157048249763,0.003784295175023652,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9919583727530747,0.006149479659413435,0.001892147587511826,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9981078524124882,0.000946073793755913,0.000946073793755913,0.0,0.0,0.9985808893093662,0.0014191106906338694,0.0,0.0,0.0,0.9995269631031221,0.0004730368968779565,0.0,0.0,0.0,0.9976348155156102,0.0023651844843897824,0.0,0.0,0.0
