subid,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82
11,0.9847715736040609,0.015228426395939087,0.0,0.0,0.0,0.0,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.9949238578680203,0.005076142131979695,0.0,0.0,0.0,0.0,0.0,0.0,0.9695431472081218,0.015228426395939087,0.01015228426395939,0.005076142131979695,0.0,0.0,0.0,0.0,0.949238578680203,0.050761421319796954,0.0,0.0,0.0,0.0,0.0,0.0,0.9898477157360406,0.01015228426395939,0.0,0.0,0.0,0.9086294416243654,0.08121827411167512,0.01015228426395939,0.0,0.0,0.9949238578680203,0.005076142131979695,0.0,0.9543147208121827,0.04568527918781726,0.0,0.0,0.0,0.0,0.0,0.0,0.9746192893401016,0.025380710659898477,0.0,0.0,0.0,0.0,0.0,0.9898477157360406,0.0,0.01015228426395939,0.0,0.0,0.0,0.0,0.0,0.9695431472081218,0.030456852791878174,0.0,0.0,0.0,0.0,0.0,0.0
12,0.9882697947214076,0.011730205278592375,0.0,0.0,0.0,0.0,0.9970674486803519,0.002932551319648094,0.0,0.0,0.0,0.0,0.0,0.0,0.9824046920821115,0.008797653958944282,0.008797653958944282,0.0,0.0,0.0,0.0,0.0,0.9912023460410557,0.008797653958944282,0.0,0.0,0.0,0.0,0.0,0.0,0.9794721407624634,0.017595307917888565,0.002932551319648094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9618768328445748,0.03519061583577713,0.002932551319648094,0.0,0.0,1.0,0.0,0.0,0.9882697947214076,0.011730205278592375,0.0,0.0,0.0,0.0,0.0,0.0,0.9941348973607038,0.005865102639296188,0.0,0.0,0.0,0.0,0.0,0.9970674486803519,0.002932551319648094,0.0,0.0,0.0,0.0,0.0,0.0,0.9853372434017595,0.01466275659824047,0.0,0.0,0.0,0.0,0.0,0.0
13,0.9837837837837838,0.016216216216216217,0.0,0.0,0.0,0.0,0.9891891891891892,0.010810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.9675675675675676,0.032432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.972972972972973,0.021621621621621623,0.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.9567567567567568,0.03783783783783784,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.9783783783783784,0.021621621621621623,0.0,0.0,0.0,0.9621621621621622,0.032432432432432434,0.005405405405405406,0.0,0.0,0.9891891891891892,0.010810810810810811,0.0,0.9837837837837838,0.016216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.9783783783783784,0.021621621621621623,0.0,0.0,0.0,0.0,0.0,0.9837837837837838,0.0,0.016216216216216217,0.0,0.0,0.0,0.0,0.0,0.9945945945945946,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0
14,0.9904153354632588,0.009584664536741214,0.0,0.0,0.0,0.0,0.9936102236421726,0.006389776357827476,0.0,0.0,0.0,0.0,0.0,0.0,0.9744408945686901,0.019169329073482427,0.006389776357827476,0.0,0.0,0.0,0.0,0.0,0.9808306709265175,0.012779552715654952,0.006389776357827476,0.0,0.0,0.0,0.0,0.0,0.9776357827476039,0.022364217252396165,0.0,0.0,0.0,0.0,0.0,0.0,0.9840255591054313,0.01597444089456869,0.0,0.0,0.0,0.9776357827476039,0.019169329073482427,0.0,0.003194888178913738,0.0,0.9936102236421726,0.006389776357827476,0.0,0.9808306709265175,0.019169329073482427,0.0,0.0,0.0,0.0,0.0,0.0,0.987220447284345,0.012779552715654952,0.0,0.0,0.0,0.0,0.0,0.9808306709265175,0.006389776357827476,0.012779552715654952,0.0,0.0,0.0,0.0,0.0,0.987220447284345,0.012779552715654952,0.0,0.0,0.0,0.0,0.0,0.0
15,0.8636363636363636,0.07954545454545454,0.056818181818181816,0.0,0.0,0.0,0.9090909090909091,0.07954545454545454,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.7840909090909091,0.10227272727272728,0.03409090909090909,0.045454545454545456,0.03409090909090909,0.0,0.0,0.0,0.9659090909090909,0.0,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.0,0.0,0.0,0.9545454545454546,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.8863636363636364,0.10227272727272728,0.011363636363636364,0.0,0.0,0.8636363636363636,0.09090909090909091,0.045454545454545456,0.0,0.0,0.9545454545454546,0.045454545454545456,0.0,0.8863636363636364,0.056818181818181816,0.03409090909090909,0.0,0.011363636363636364,0.0,0.011363636363636364,0.0,0.8977272727272727,0.07954545454545454,0.022727272727272728,0.0,0.0,0.0,0.0,0.9431818181818182,0.022727272727272728,0.011363636363636364,0.022727272727272728,0.0,0.0,0.0,0.0,0.8409090909090909,0.11363636363636363,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
16,0.851528384279476,0.13973799126637554,0.008733624454148471,0.0,0.0,0.0,0.8908296943231441,0.06986899563318777,0.034934497816593885,0.004366812227074236,0.0,0.0,0.0,0.0,0.9344978165938864,0.021834061135371178,0.021834061135371178,0.017467248908296942,0.004366812227074236,0.0,0.0,0.0,0.8951965065502183,0.05240174672489083,0.043668122270742356,0.008733624454148471,0.0,0.0,0.0,0.0,0.9301310043668122,0.048034934497816595,0.008733624454148471,0.013100436681222707,0.0,0.0,0.0,0.0,0.9432314410480349,0.056768558951965066,0.0,0.0,0.0,0.925764192139738,0.07423580786026202,0.0,0.0,0.0,0.9519650655021834,0.048034934497816595,0.0,0.8471615720524017,0.10043668122270742,0.034934497816593885,0.017467248908296942,0.0,0.0,0.0,0.0,0.8427947598253275,0.1572052401746725,0.0,0.0,0.0,0.0,0.0,0.9344978165938864,0.034934497816593885,0.021834061135371178,0.008733624454148471,0.0,0.0,0.0,0.0,0.8602620087336245,0.1222707423580786,0.017467248908296942,0.0,0.0,0.0,0.0,0.0
17,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.0,0.5555555555555556,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.0,0.6111111111111112,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.6111111111111112,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.0,0.0,0.6666666666666666,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.5555555555555556,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,0.0,0.6111111111111112,0.3888888888888889,0.0,0.6666666666666666,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.05555555555555555,0.0,0.0,0.3888888888888889,0.3333333333333333,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.0,0.7222222222222222,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0,0.0,0.4444444444444444,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.05555555555555555,0.0,0.0,0.0
18,0.13333333333333333,0.4,0.43333333333333335,0.03333333333333333,0.0,0.0,0.26666666666666666,0.13333333333333333,0.1,0.26666666666666666,0.16666666666666666,0.06666666666666667,0.0,0.0,0.2,0.26666666666666666,0.06666666666666667,0.23333333333333334,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.0,0.1,0.03333333333333333,0.16666666666666666,0.36666666666666664,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.2,0.3,0.26666666666666666,0.06666666666666667,0.0,0.03333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.4666666666666667,0.3333333333333333,0.0,0.2,0.5,0.2,0.1,0.0,0.23333333333333334,0.7666666666666667,0.0,0.13333333333333333,0.16666666666666666,0.2,0.2,0.13333333333333333,0.13333333333333333,0.0,0.03333333333333333,0.1,0.16666666666666666,0.36666666666666664,0.3333333333333333,0.03333333333333333,0.0,0.0,0.2,0.13333333333333333,0.23333333333333334,0.03333333333333333,0.06666666666666667,0.23333333333333334,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.3333333333333333,0.1,0.0,0.0,0.0
19,0.6206896551724138,0.27586206896551724,0.10344827586206896,0.0,0.0,0.0,0.7931034482758621,0.06896551724137931,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.8620689655172413,0.10344827586206896,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.06896551724137931,0.13793103448275862,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.0,0.0,0.6206896551724138,0.10344827586206896,0.20689655172413793,0.0,0.06896551724137931,0.0,0.0,0.0,0.4827586206896552,0.4827586206896552,0.034482758620689655,0.0,0.0,0.6206896551724138,0.3448275862068966,0.034482758620689655,0.0,0.0,0.6206896551724138,0.3793103448275862,0.0,0.5172413793103449,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.0,0.0,0.0,0.0,0.3793103448275862,0.5172413793103449,0.10344827586206896,0.0,0.0,0.0,0.0,0.7586206896551724,0.06896551724137931,0.10344827586206896,0.06896551724137931,0.0,0.0,0.0,0.0,0.41379310344827586,0.4827586206896552,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0
20,0.9791356184798807,0.020864381520119227,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985096870342772,0.0014903129657228018,0.0,0.0,0.0,0.0,0.0,0.0,0.9895678092399404,0.005961251862891207,0.0029806259314456036,0.0014903129657228018,0.0,0.0,0.0,0.0,0.9836065573770492,0.014903129657228018,0.0014903129657228018,0.0,0.0,0.0,0.0,0.0,0.9985096870342772,0.0014903129657228018,0.0,0.0,0.0,0.9672131147540983,0.03129657228017884,0.0014903129657228018,0.0,0.0,1.0,0.0,0.0,0.9850968703427719,0.011922503725782414,0.0029806259314456036,0.0,0.0,0.0,0.0,0.0,0.9865871833084948,0.013412816691505217,0.0,0.0,0.0,0.0,0.0,0.9970193740685543,0.0,0.0014903129657228018,0.0014903129657228018,0.0,0.0,0.0,0.0,0.9895678092399404,0.010432190760059613,0.0,0.0,0.0,0.0,0.0,0.0
21,0.2,0.5333333333333333,0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.4,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.0,0.0,0.13333333333333333,0.6,0.2,0.06666666666666667,0.0,0.4,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.9333333333333333,0.0,0.4,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666,0.2,0.13333333333333333,0.0,0.0,0.0,0.26666666666666666,0.2,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.0,0.0,0.13333333333333333,0.4,0.26666666666666666,0.2,0.0,0.0,0.0,0.0
22,0.35,0.4,0.25,0.0,0.0,0.0,0.55,0.3,0.0,0.05,0.1,0.0,0.0,0.0,0.45,0.35,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.05,0.15,0.2,0.1,0.1,0.0,0.0,0.5,0.1,0.25,0.1,0.05,0.0,0.0,0.0,0.2,0.3,0.35,0.1,0.05,0.35,0.45,0.2,0.0,0.0,0.35,0.65,0.0,0.4,0.3,0.15,0.05,0.0,0.1,0.0,0.0,0.25,0.4,0.25,0.1,0.0,0.0,0.0,0.55,0.15,0.1,0.05,0.1,0.0,0.05,0.0,0.25,0.35,0.25,0.15,0.0,0.0,0.0,0.0
23,0.9762845849802372,0.019762845849802372,0.003952569169960474,0.0,0.0,0.0,0.9762845849802372,0.023715415019762844,0.0,0.0,0.0,0.0,0.0,0.0,0.9723320158102767,0.019762845849802372,0.003952569169960474,0.003952569169960474,0.0,0.0,0.0,0.0,0.9802371541501976,0.015810276679841896,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,0.9881422924901185,0.011857707509881422,0.0,0.0,0.0,0.0,0.0,0.0,0.9960474308300395,0.003952569169960474,0.0,0.0,0.0,0.9486166007905138,0.04743083003952569,0.003952569169960474,0.0,0.0,0.9920948616600791,0.007905138339920948,0.0,0.9644268774703557,0.03162055335968379,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.9604743083003953,0.03557312252964427,0.003952569169960474,0.0,0.0,0.0,0.0,0.9881422924901185,0.007905138339920948,0.0,0.003952569169960474,0.0,0.0,0.0,0.0,0.9683794466403162,0.02766798418972332,0.003952569169960474,0.0,0.0,0.0,0.0,0.0
24,0.9841521394611727,0.01584786053882726,0.0,0.0,0.0,0.0,0.9952456418383518,0.003169572107765452,0.001584786053882726,0.0,0.0,0.0,0.0,0.0,0.9984152139461173,0.001584786053882726,0.0,0.0,0.0,0.0,0.0,0.0,0.9825673534072901,0.011093502377179081,0.004754358161648178,0.001584786053882726,0.0,0.0,0.0,0.0,0.9508716323296355,0.04120443740095087,0.00792393026941363,0.0,0.0,0.0,0.0,0.0,0.9984152139461173,0.001584786053882726,0.0,0.0,0.0,0.9223454833597464,0.07606973058637084,0.001584786053882726,0.0,0.0,0.9952456418383518,0.004754358161648178,0.0,0.971473851030111,0.028526148969889066,0.0,0.0,0.0,0.0,0.0,0.0,0.971473851030111,0.028526148969889066,0.0,0.0,0.0,0.0,0.0,0.9952456418383518,0.0,0.003169572107765452,0.0,0.001584786053882726,0.0,0.0,0.0,0.9809825673534073,0.017432646592709985,0.001584786053882726,0.0,0.0,0.0,0.0,0.0
25,0.9929078014184397,0.0070921985815602835,0.0,0.0,0.0,0.0,0.9946808510638298,0.0035460992907801418,0.0017730496453900709,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9893617021276596,0.0070921985815602835,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0,0.9716312056737588,0.028368794326241134,0.0,0.0,0.0,0.0,0.0,0.0,0.99822695035461,0.0017730496453900709,0.0,0.0,0.0,0.9450354609929078,0.051418439716312055,0.0035460992907801418,0.0,0.0,0.9946808510638298,0.005319148936170213,0.0,0.9645390070921985,0.03546099290780142,0.0,0.0,0.0,0.0,0.0,0.0,0.9804964539007093,0.01950354609929078,0.0,0.0,0.0,0.0,0.0,0.9929078014184397,0.0035460992907801418,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0,0.9946808510638298,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0
26,0.9930875576036866,0.0069124423963133645,0.0,0.0,0.0,0.0,0.9988479262672811,0.001152073732718894,0.0,0.0,0.0,0.0,0.0,0.0,0.9976958525345622,0.002304147465437788,0.0,0.0,0.0,0.0,0.0,0.0,0.9792626728110599,0.018433179723502304,0.0,0.001152073732718894,0.001152073732718894,0.0,0.0,0.0,0.967741935483871,0.029953917050691243,0.002304147465437788,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9470046082949308,0.05184331797235023,0.0,0.0,0.001152073732718894,0.9988479262672811,0.001152073732718894,0.0,0.9815668202764977,0.018433179723502304,0.0,0.0,0.0,0.0,0.0,0.0,0.9850230414746544,0.014976958525345621,0.0,0.0,0.0,0.0,0.0,0.9953917050691244,0.001152073732718894,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.9873271889400922,0.012672811059907835,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
