1,2179
3,-21400
16,-6097
4,5406
6,2968
7,14794
15,6097
136,5907
20,6796
18,-19953
19,10684
23,2243
29,-15107
30,-61478
31,1926
32,-19348
25,-9580
26,-3495
28,-4450
138,-23972
39,4010
104,-205
107,6152
45,41177
52,15696
53,1421
54,14102
55,4716
56,-678
46,13882
49,-16849
47,-24885
48,35217
62,-17668
69,-4116
70,5434
71,31615
60,-63902
57,2954
59,21625
77,9494
78,1011
79,-12531
81,-902
108,8729
86,53412
74,18710
88,-16917
89,2625
90,-4858
124,-4387
113,-42288
93,-9103
94,-1255
95,-299
98,-13810
99,6700
82,75103
85,-7744
127,-8149
103,8309
105,-12744
106,26051
128,9251
129,-12417
146,-12787
115,-5860
119,4450
141,-37297
142,-1564
143,-475
145,-10053
148,14435
150,-4834
151,-11856
111,34924
112,6418
125,4211
154,-15030
155,21620
165,-827
162,31133
66,-19525
83,-35835
114,-2354
116,-19680
117,23820
131,-4302
132,2678
133,1646
100,-11530
172,-16374
174,7511
175,12116
176,-2285
178,2980
120,4564
121,5444
122,-18924
123,-1264
134,905
135,4226
130,5819
42,8608
43,18136
64,21018
65,-12457
84,-16181
101,-20532
5,911
8,-2465
9,-30113
10,4119
11,1041
12,8834
13,1027
14,2761
137,-1573
27,-23536
24,16481
38,7152
40,-1327
41,-3955
44,-17001
51,-877
63,1849
67,1366
153,-12821
109,31420
110,-8085
126,13571
140,-5944
139,-19332
169,11582
170,-23232
171,2647
152,12834
160,8702
163,12643
164,1175
34,6344
36,-2374
73,13102
96,299
156,2782
157,-1273
158,-13560
159,1726
2,13034
21,-3614
182,2587
183,-3722
184,-1947
185,3082
168,807
22,-11714
33,-17007
37,295
68,19892
186,5351
17,18345
35,-196
50,1532
144,-15772
58,13460
61,5391
147,-13343
166,6149
72,8456
75,2763
76,-400
80,-15886
87,2558
102,2374
149,-2227
92,36122
161,15892
91,1663
97,9058
118,-29307
167,-11172
179,-2148
173,-3983
177,5990
181,9389
180,-19313
